1,7/25/2013,11599,CLOSED
2,7/25/2013,256,PENDING_PAYMENT
3,7/25/2013,12111,COMPLETE
4,7/25/2013,8827,CLOSED
5,7/25/2013,11318,COMPLETE
6,7/25/2013,7130,COMPLETE
7,7/25/2013,4530,COMPLETE
8,7/25/2013,2911,PROCESSING
9,7/25/2013,5657,PENDING_PAYMENT
10,7/25/2013,5648,PENDING_PAYMENT
11,7/25/2013,918,PAYMENT_REVIEW
12,7/25/2013,1837,CLOSED
13,7/25/2013,9149,PENDING_PAYMENT
14,7/25/2013,9842,PROCESSING
15,7/25/2013,2568,COMPLETE
16,7/25/2013,7276,PENDING_PAYMENT
17,7/25/2013,2667,COMPLETE
18,7/25/2013,1205,CLOSED
19,7/25/2013,9488,PENDING_PAYMENT
20,7/25/2013,9198,PROCESSING
21,7/25/2013,2711,PENDING
22,7/25/2013,333,COMPLETE
23,7/25/2013,4367,PENDING_PAYMENT
24,7/25/2013,11441,CLOSED
25,7/25/2013,9503,CLOSED
26,7/25/2013,7562,COMPLETE
27,7/25/2013,3241,PENDING_PAYMENT
28,7/25/2013,656,COMPLETE
29,7/25/2013,196,PROCESSING
30,7/25/2013,10039,PENDING_PAYMENT
31,7/25/2013,6983,PAYMENT_REVIEW
32,7/25/2013,3960,COMPLETE
33,7/25/2013,5793,PENDING_PAYMENT
34,7/25/2013,4189,PROCESSING
35,7/25/2013,4840,COMPLETE
36,7/25/2013,5649,PENDING
37,7/25/2013,5863,CLOSED
38,7/25/2013,11586,PROCESSING
39,7/25/2013,8214,PENDING
40,7/25/2013,12092,PENDING_PAYMENT
41,7/25/2013,8136,PENDING_PAYMENT
42,7/25/2013,9776,PENDING
43,7/25/2013,7776,PENDING_PAYMENT
44,7/25/2013,10500,PENDING
45,7/25/2013,2636,COMPLETE
46,7/25/2013,1549,ON_HOLD
47,7/25/2013,8487,PENDING_PAYMENT
48,7/25/2013,12186,PROCESSING
49,7/25/2013,1871,PENDING
50,7/25/2013,5225,CANCELED
51,7/25/2013,12271,CLOSED
52,7/25/2013,5126,PENDING_PAYMENT
53,7/25/2013,4701,PROCESSING
54,7/25/2013,10628,PENDING_PAYMENT
55,7/25/2013,2052,PENDING
56,7/25/2013,10519,COMPLETE
57,7/25/2013,7073,CLOSED
58,7/25/2013,9213,PENDING_PAYMENT
59,7/25/2013,11644,PENDING_PAYMENT
60,7/25/2013,8365,PENDING_PAYMENT
61,7/25/2013,4791,CLOSED
62,7/25/2013,9111,CLOSED
63,7/25/2013,1148,COMPLETE
64,7/25/2013,5579,PENDING_PAYMENT
65,7/25/2013,5903,COMPLETE
66,7/25/2013,1792,ON_HOLD
67,7/25/2013,1406,COMPLETE
68,7/25/2013,4320,PENDING
69,7/25/2013,2821,SUSPECTED_FRAUD
70,7/25/2013,11809,PENDING_PAYMENT
71,7/25/2013,8646,COMPLETE
72,7/25/2013,4349,COMPLETE
73,7/25/2013,8504,PENDING_PAYMENT
74,7/25/2013,662,PENDING_PAYMENT
75,7/25/2013,2505,PENDING_PAYMENT
76,7/25/2013,6898,COMPLETE
77,7/25/2013,7915,PENDING_PAYMENT
78,7/25/2013,8619,PAYMENT_REVIEW
79,7/25/2013,7327,PENDING_PAYMENT
80,7/25/2013,3007,COMPLETE
81,7/25/2013,674,PROCESSING
82,7/25/2013,3566,PENDING_PAYMENT
83,7/25/2013,1265,COMPLETE
84,7/25/2013,6789,PROCESSING
85,7/25/2013,1485,PENDING
86,7/25/2013,6680,PENDING_PAYMENT
87,7/25/2013,3065,CLOSED
88,7/25/2013,3809,COMPLETE
89,7/25/2013,824,ON_HOLD
